%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
102.0, 4.966587066650391, 8.08940315246582, -46.5617561340332, 40.080509185791016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671300619917E9, 2021-04-17 16:45:30.061
102.0, 14.368695259094238, 18.280630111694336, -39.841156005859375, 22.828350067138672, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671300619917E9, 2021-04-17 16:45:30.061
103.0, 4.405601978302002, -7.14694881439209, -22.087848663330078, -33.18413162231445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671300620737E9, 2021-04-17 16:45:30.062
103.0, -7.603216648101807, 20.87986183166504, -41.77842330932617, 45.40986633300781, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671300620737E9, 2021-04-17 16:45:30.062
104.0, 18.43396759033203, 29.19365882873535, -5.516352653503418, 19.368942260742188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671300744781E9, 2021-04-17 16:45:30.074
104.0, 10.729772567749023, 1.9784070253372192, -9.398368835449219, 9.839676856994629, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671300744781E9, 2021-04-17 16:45:30.074
105.0, -1.682955026626587, 13.373882293701172, -45.87735366821289, 13.60201644897461, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61866713009016E9, 2021-04-17 16:45:30.090
105.0, -3.994213104248047, 11.242138862609863, -40.01319122314453, 16.885648727416992, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.61866713009016E9, 2021-04-17 16:45:30.090
106.0, 13.13826847076416, 18.7742977142334, -22.540376663208008, 18.905193328857422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671300908217E9, 2021-04-17 16:45:30.090
106.0, 13.747872352600098, -3.0629780292510986, -31.8377685546875, 1.5408388376235962, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671300908217E9, 2021-04-17 16:45:30.090
107.0, 5.093743801116943, 3.283632278442383, -16.53409767150879, -1.9671874046325684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.618667130104416E9, 2021-04-17 16:45:30.104
107.0, 3.485586643218994, -10.785871505737305, -3.941854476928711, 17.244678497314453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.618667130104416E9, 2021-04-17 16:45:30.104
108.0, 5.501392841339111, 13.744132041931152, -50.047340393066406, -0.938714861869812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671301202416E9, 2021-04-17 16:45:30.120
108.0, 14.821223258972168, 19.327802658081055, -50.02116012573242, 3.257452964782715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671301202416E9, 2021-04-17 16:45:30.120
109.0, -10.142608642578125, 14.574390411376953, -53.8508186340332, -0.007479799911379814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671301208389E9, 2021-04-17 16:45:30.120
109.0, 8.512012481689453, 13.807710647583008, -45.372467041015625, 15.457006454467773, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671301208389E9, 2021-04-17 16:45:30.120
110.0, 14.488372802734375, 21.511903762817383, -37.82160949707031, 8.635429382324219, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186671301344235E9, 2021-04-17 16:45:30.134
