%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
102.0, 0.7517198920249939, 25.84644889831543, 1.6231166124343872, 9.521785736083984, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186668673665187E9, 2021-04-17 16:41:07.366
102.0, 33.99195098876953, -4.888049125671387, 10.438060760498047, -34.21260452270508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186668673665187E9, 2021-04-17 16:41:07.366
103.0, 20.131881713867188, 6.926294803619385, 0.23935359716415405, -32.43989181518555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186668673670113E9, 2021-04-17 16:41:07.367
103.0, -7.554597854614258, 7.038491725921631, -0.8788765072822571, 9.615283012390137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186668673670113E9, 2021-04-17 16:41:07.367
104.0, 12.846556663513184, 7.756552696228027, 31.489957809448242, 2.0569450855255127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186668673793178E9, 2021-04-17 16:41:07.379
104.0, 37.59721374511719, -3.6501424312591553, -4.042831897735596, -35.12139892578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186668673793178E9, 2021-04-17 16:41:07.379
105.0, 20.07952308654785, 15.875875473022461, 1.0284725427627563, -29.98651695251465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.618666867395128E9, 2021-04-17 16:41:07.395
105.0, -10.299684524536133, -6.204493999481201, -23.935359954833984, 11.316937446594238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.618666867395128E9, 2021-04-17 16:41:07.395
106.0, 5.804324626922607, 3.8782763481140137, 2.3262178897857666, 4.413082122802734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186668673957715E9, 2021-04-17 16:41:07.395
106.0, 41.928016662597656, -1.4772604703903198, 3.968033790588379, -39.915950775146484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186668673957715E9, 2021-04-17 16:41:07.395
107.0, 17.293296813964844, 0.09349749982357025, 0.991073489189148, -30.1772518157959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6186668674093652E9, 2021-04-17 16:41:07.409
